pa,avg,chase_pct,avg_ev,season,full_name,birth_year_clean,age
348.0,0.060674157303370786,0.3469945355191257,84.98023952095814,2022.0,Albert Pujols,1980,42.0
432.0,0.064375,0.31535756154747946,83.51010638297869,2022.0,Miguel Cabrera,1983,39.0
273.0,0.05918367346938776,0.4144329896907217,80.99223529411766,2022.0,Yadier Molina,1982,40.0
518.0,0.055130168453292494,0.3098188751191611,83.96304347826097,2022.0,Nelson Cruz,1980,42.0
495.0,0.061504667764964306,0.32882414151925077,83.37476340694015,2022.0,David Peralta,1987,35.0
294.0,0.05662020905923345,0.2631578947368421,84.39765395894426,2022.0,Evan Longoria,1985,37.0
588.0,0.06939163498098859,0.3207729468599034,80.27845579078458,2022.0,Charlie Blackmon,1986,36.0
381.0,0.043745727956254275,0.3090418353576248,81.45588865096364,2022.0,Martín Maldonado,1986,36.0
222.0,0.041916167664670656,0.3090507726269316,79.65585937499999,2022.0,Robinson Chirinos,1984,38.0
290.0,0.0692167577413479,0.3259668508287293,82.61059113300496,2022.0,Donovan Solano,1987,35.0
581.0,0.05380577427821522,0.20728534258456202,83.46549391069014,2022.0,Andrew McCutchen,1986,36.0
531.0,0.0617816091954023,0.26757990867579906,82.72829949238583,2022.0,Justin Turner,1984,38.0
385.0,0.04794058068872384,0.22804718217562253,82.37041036717062,2022.0,Joey Votto,1983,39.0
569.0,0.06215213358070501,0.2936436884512086,81.55931972789118,2022.0,Elvis Andrus,1988,34.0
502.0,0.04290091930541369,0.21485148514851485,84.79548286604351,2022.0,Carlos Santana,1986,36.0
308.0,0.045879354290569246,0.21371610845295055,80.3005633802817,2022.0,Brandon Belt,1988,34.0
288.0,0.07142857142857142,0.22072936660268713,85.33439306358385,2022.0,Michael Brantley,1987,35.0
578.0,0.06409001956947162,0.3520074696545285,81.84702308626979,2022.0,Yuli Gurriel,1984,38.0
506.0,0.06242969628796401,0.30312837108953616,81.07235890014474,2022.0,Miguel Rojas,1989,33.0
538.0,0.05815672745194677,0.34309240622140896,81.74310810810819,2022.0,Eduardo Escobar,1989,33.0
626.0,0.05596707818930041,0.2172096908939014,84.49176954732515,2022.0,Tommy Pham,1988,34.0
600.0,0.06214933103150626,0.3200319233838787,82.925612745098,2022.0,J.D. Martinez,1987,35.0
646.0,0.06838263542066846,0.2503576537911302,85.27043701799481,2022.0,Paul Goldschmidt,1987,35.0
203.0,0.0410958904109589,0.3689095127610209,81.91180555555559,2022.0,Marwin Gonzalez,1989,33.0
607.0,0.07056179775280899,0.28549019607843135,80.89264892268685,2022.0,Jose Altuve,1990,32.0
614.0,0.06104523495827844,0.2588134135855546,78.49496855345912,2022.0,César Hernández,1990,32.0
390.0,0.07022677395757132,0.34652114597544337,81.73456310679609,2022.0,Jean Segura,1990,32.0
